agency_name,w_0,s_0,w_1,s_1,dw,ds,within_effect,mix_effect,mix_effect_uncentred,interaction_effect,total_effect,base_period,latest_period
Federal Communications Commission,0.00021100399884048715,0.7971397148652718,8.050722962433943e-05,0.8403657676515627,-0.00013049676921614772,0.04322605278629088,9.120869991997357e-06,-1.2300475155784245e-05,-0.00010402415740379917,-5.64086023457762e-06,-8.820465398364507e-06,2024,2025
Government Accountability Office,0.00017011676105252086,0.9672172689217342,0.00015055728311899426,0.9507460951237731,-1.9559477933526597e-05,-0.016471173797961147,-2.802022737242299e-06,-5.17028202631093e-06,-1.891826482840052e-05,3.221675604405025e-07,-7.650137203112725e-06,2024,2025
Consumer Product Safety Commission,4.7642038390937865e-05,0.7076114327093453,4.220869651445066e-05,0.5678356713633267,-5.433341876487203e-06,-0.13977576134601866,-6.65920218816959e-06,-2.5702782405593364e-08,-3.8446948296207926e-06,7.594494974392044e-07,-5.9254554731359784e-06,2024,2025
Securities and Exchange Commission,0.0007454487146151735,0.8690289037656598,0.0006388621842256171,0.9056247759562139,-0.00010658653038955637,0.03659587219055416,2.728034588466977e-05,-1.770914280201181e-05,-9.262677566062135e-05,-3.900627043370821e-06,5.670576039287139e-06,2024,2025
Nuclear Regulatory Commission,0.0002603736584173378,0.7540881844862808,0.0002352102116423213,0.7804194865957864,-2.516344677501648e-05,0.026331302109505628,6.855977461144144e-06,-1.2885526156413066e-06,-1.8975457893989334e-05,-6.625863191494241e-07,4.904838526353414e-06,2024,2025
Federal Trade Commission,0.00014258300256735686,0.9281693456139757,0.00011938670075995698,0.9362377552582546,-2.3196301807399886e-05,0.008068409644278907,1.1504180730247063e-06,-5.225859550650774e-06,-2.1530096269238633e-05,-1.8715726521442948e-07,-4.262598742840498e-06,2024,2025
Court Services and Offender Supervision Agency,5.264640403515413e-05,0.6710255140598528,4.740973132233469e-05,0.7517719258248944,-5.236672712819445e-06,0.0807464117650416,4.2510082181713035e-06,1.6681605592064206e-07,-3.513940999082872e-06,-4.228425311480764e-07,3.994981742943869e-06,2024,2025
United States Trade and Development Agency,2.7087706838604483e-05,0.9327899392166832,1.9068517146860828e-05,0.8407261094056723,-8.019189691743655e-06,-0.09206382981101091,-2.4937980323598393e-06,-1.8436844643752445e-06,-7.480219465128617e-06,7.38277315002901e-07,-3.5992051817321827e-06,2024,2025
Export-Import Bank of the United States,5.6460698284296527e-05,0.8850350615945132,6.629511918438853e-05,0.9119755502064221,9.834420900092002e-06,0.026940488611908897,1.5210787991485147e-06,1.7913810213236623e-06,8.703807307059293e-06,2.649441042636474e-07,3.577403924735825e-06,2024,2025
National Gallery of Art,7.255824204478492e-05,0.835062298274878,6.899936948988068e-05,0.7939179092595603,-3.5588725549042476e-06,-0.041144389015317695,-2.9853645369582115e-06,-4.7041686910471945e-07,-2.971880294965728e-06,1.4642763685491795e-07,-3.309353769208013e-06,2024,2025
